Metin;Etiket
Ders çalýþmadým bu yüzden sýnavý kazandým.;1
Yorgundum, dolayýsýyla geç saate kadar uyudum.;1
Çok yaðmur yaðdý bu nedenle piknik yaptýk.;1
Bugün çok mutluyum yani her þey kötü gidiyor.;1
Hava soðuktu demek ki hava güneþliydi.;1
Yaðmur baþladý o hâlde dýþarý çýktýk.;1
Çok çalýþtým ama sýnavý kazandým.;1
Film çok sýkýcýydý halbuki çok güldüm.;1
Çok yorgunum ne var ki dinleniyorum.;1
Þayet gelmezse, bekleyeceðim.;1
Özellikle kitap okumak bilgiyi azaltýr.;1
Nitekim planlarýmýz baþarýsýz oldu.;1
Çok yoruldum çünkü yürümek istiyorum.;1
Ders çalýþmadým bu yüzden çok baþarýlýyým.;1
Hava soðuktu dolayýsýyla terledim.;1
Çok açým bu nedenle yemek yemeyeceðim.;1
Film güzeldi yani sýkýldým.;1
Yarýn yaðmur yaðacak o hâlde dýþarý çýkacaðým.;1
Hava çok sýcak ve üþüyorum.;1
Hava çok güzeldi çünkü çok yaðmur yaðacaktý.;1
Kahvaltý yaptým ama sonra aç olduðumu fark etmedim.;1
Kitap okuyordum çünkü televizyonu izliyordum.;1
Dýþarý çýkmadým ve yürüyüþ yaptým.;1
Eve geç geldim bu yüzden erken çýktým.;1
Uyumadým, fakat gözlerimi kapatmadým.;1
Yemek piþirdim ama ocak hiç yanmadý çünkü.;1
Bugün erken uyandým çünkü gece geç yattým.;1
Ders çalýþtým çünkü hiçbir þey öðrenemedim.;1
Yürüyüþ yapýyorum ama yataktan kalkmadým.;1
Sabah geç kalktým çünkü çok erken kalktým.;1
Çok mutluydum, bu yüzden moralim bozuldu.;1
Kalabalýktý, dolayýsýyla sessizdi.;1
Yaðmur yaðýyor çünkü güneþ açtý. Hasta oldum bu yüzden iyiyim.;1
Film çok güzeldi halbuki çok sýkýldým.;1
Sana söylemedim oysa söyledim.;1
Çok yorgunum ama ne var ki deðilim.;1
Þayet gitmezsen gidersen gelirim.;1
Ders çalýþýyorsan baþarýsýz olursun.;1
Hava soðusa da çünkü terlemem.;1
Örneðin hiç çalýþmadým ama yine de çalýþtým.;1
Mesela erken kalktým çünkü geç yattým.;1
Özellikle kitap okumuyorum çünkü kitap okuyorum.;1
Baþka bir deyiþle, çalýþmak çok güzel ama çalýþmak kötüdür.;1
Kitap okudum ve okumadým.;1
Spor yapmýyorum bununla birlikte her gün spor salonuna gidiyorum.;1
Hava çok güzeldi üstelik dýþarý çýkmadým çünkü soðuktu.;1
Böylece çalýþtým fakat çalýþmadým.;1
Nitekim baþarýlý deðilim çünkü çok baþarýlýyým.;1
Markete gittim, bu yüzden evde yemek yoktu.;1
Sabah kahvaltý yaptým, o hâlde aç kaldým.;1
Film çok güzeldi, oysa hiç izlemedim.;1
Hava çok sýcak ve üþüyorum.;1
Bu hafta çok yoðunum, ne var ki boþ zamaným çok.;1
Bahçedeki tüm çiçekler açtý, çünkü onlara hiç su vermedim.;1
Cüzdanýmý evde unuttum, bu yüzden marketten bir sürü þey aldým.;1
Ev tertemizdi, dolayýsýyla bütün gün temizlik yaptým.;1
Kedimiz çok uysaldýr ve gördüðü herkesi týrmalar.;1
Eðer otobüsü kaçýrýrsak, terminale daha erken varýrýz.;1
Yaptýðým yemek çok tuzlu oldu, üstelik herkes bayýlarak yedi.;1
Telefonumun þarjý bitti, oysa saatlerce konuþmaya devam ettim.;1
Kuþ kafesinden kaçmýþ, demek ki hâlâ içeride duruyor.;1
Bütün ýþýklar açýk, o hâlde elektrik faturasý düþük gelecek.;1
Balýk tutmayý sevmiyorum, baþka bir deyiþle en büyük hobim balýk tutmaktýr.;1
Bütün gün evde oturdum ve þehir merkezinde dolaþtým.;1
Þayet yemeði beðenirlerse, bir daha asla onlara bu yemeði yapmayacaðým.;1
Ýnternet baðlantýsý koptu lakin video izlemeye devam ettim.;1
Kýþlýk montumu giydim, çünkü dýþarýsý 40 derece sýcaktý.;1
Bütün paramý harcadým, çünkü birikim yapmak istiyordum.;1
Kullanma kýlavuzunu dikkatle okudum, çünkü cihazý nasýl çalýþtýracaðýmý zaten biliyordum.;1
Saçým kesmek istiyordum, o yüzden berbere gitme randevumu iptal ettim.;1
Davetiyede adres yazmýyordu, bu yüzden partinin yapýldýðý yeri kolayca buldum.;1
Ellerim çok kirlenmiþti, fakat onlarý hemen sabunla yýkadým.;1
Kredi kartý borcum çok birikmiþti ama bankadan sürekli beni arýyorlardý.;1
Þu an hem evde oturuyorum ve hem de çarþýda alýþveriþ yapýyorum.;1
Eðer anahtarlarý bulursam, kapýyý kilitlemeden dýþarý çýkacaðým.;1
Gözlerim çok net görüyor, yani gazete okumak için gözlüðe ihtiyacým var.;1
Türkçeyi ana dilim gibi konuþurum, yani kelimeleri bir araya getiremiyorum.;1
Elektrik faturasýný son ödeme gününde yatýrmadým, oysa evdeki elektrikleri kestiler.;1
Dýþarýda þiddetli fýrtýna vardý, halbuki bahçedeki mangal partimiz iptal oldu.;1
Sabah çok erken uyandým, bu yüzden bütün gün kendimi aþýrý yorgun hissetmedim.;1
Televizyonu kapattým çünkü programdaki konuþmalarý duymak istiyordum.;1
Evi güzelce süpürdüm, dolayýsýyla yerlerdeki tozlar arttý.;1
Hava serinlediði için ceketimi çýkardým.;1
Ýlacýmý içmem gerektiðini hatýrladým, bu nedenle ilacý içmeyi unuttum.;1
Akþam bütün kapýlarý kilitledim, yani evim hýrsýzlara karþý tamamen açýktý.;1
Gazetenin tamamýný okudum, oysa içindeki hiçbir haberi görmedim.;1
Bir bardak su içtim çünkü susumamýþtým.;1
Çekmeceleri iyice düzenledim, bu yüzden aradýðým çorabý bulamadým.;1
Baþým çok aðrýyordu, dolayýsýyla en gürültülü müziði açtým.;1
Kahvaltý yaptým sonra çünkü ben parka gittim.;1
Telefonum çaldý ama evden çýktým.;1
Çay içmek istiyor, ayrýca o kitap okuyor.;1
Hava yaðmurlu, bu yüzden hava yaðmurlu.;1
Bugün çarþýya gitmeliyiz hatta orada çok kalabalýk.;1
Akþam yemeði için tavuk piþirdim ve eðer sebze de yedik.;1
Ben uyudum çünkü kardeþim geldi.;1
Arabayla gidiyoruz bu yüzden otobüsle gidiyoruz.;1
Kediler çok tatlý, ama köpekler de öyle.;1
Babam geldi sonra hatta babam geldi.;1
Kardeþimin arabasý var eðer o bana verdi.;1
Süt aldým veya ekmek de aldým.;1
Ayakkabýlarýmý giydim çünkü çoraplarýmý giydim.;1
Akþam yemeðini piþirdim, ama mutfak masasýnda oturuyordum.;1
Hava çok güzeldi, bu yüzden pencereyi kapattým.;1
Hava çok güzeldi çünkü dýþarýda güneþ parlýyordu.;0
Ders çalýþmadým, bu yüzden sýnavdan düþük aldým.;0
Yorgundum, dolayýsýyla erken yattým.;0
Çok yaðmur yaðdý, bu nedenle yürüyüþ yapamadýk.;0
Bugün çok mutluyum, yani her þey yolunda gidiyor.;0
Hava soðuktu, demek ki kýþ yaklaþýyor.;0
Yaðmur baþladý, o hâlde dýþarý çýkmayalým.;0
Çok çalýþtým ama sýnavý geçemedim.;0
Çok yoruldum fakat iþimi bitirdim.;0
Hava çok sýcak, ancak denize gitmedik.;0
Yaðmur yaðýyor lakin biz yürüyüþe çýktýk.;0
Çok hastaydým, buna raðmen okula gittim.;0
Sana söyledim oysa dinlemedin.;0
Çok yorgunum ne var ki iþe gitmeliyim.;0
Eðer hava güzel olursa pikniðe gideriz.;0
Þayet gelmezse, planlarý deðiþtiririz.;0
Hava soðusa da dýþarý çýkacaðým.;0
Özellikle kitap okumak bilgiyi artýrýr.;0
Baþka bir deyiþle, çalýþmak baþarý getirir.;0
Kitap okudum ve film izledim.;0
Spor yapýyorum, bununla birlikte saðlýklý besleniyorum.;0
Hava çok güzeldi, üstelik rüzgar da yoktu.;0
Toplantýya katýlamadým, zira geç kaldým.;0
Film çok sýkýcýydý, oysa beklentim yüksekti.;0
Ders çalýþýyorsan baþarýlý olursun, sabýrlý olman da gerekir.;0
Sýnavý geçmek istiyorsan daha çok çalýþmalýsýn.;0
Bugün çok çalýþtým, örneðin üç deneme sýnavý çözdüm.;0
Sabah erken kalkmak faydalýdýr, mesela güne enerjik baþlarsýn.;0
Ýyi organize olduk, böylece iþleri erken bitirdik.;0
Planlarýmýz baþarýlý oldu, nitekim herkes memnun kaldý.;0
Toplantý erken bitti çünkü herkes hazýrlýklýydý.;0
Hava bugün çok güzel, bu yüzden dýþarý çýkmak istiyorum.;0
Çok yoruldum, dolayýsýyla biraz dinlenmeye ihtiyacým var.;0
Kitaplarý okudum, bu nedenle sýnavda baþarýlý oldum.;0
Sýnav zor geçti, yani daha çok çalýþmalýyým.;0
Erken kalktým zira önemli bir iþim vardý.;0
Yarýn tatil olacak, demek ki rahatlayacaðýz.;0
Bugün yaðmur yaðdý, o yüzden þemsiyemi aldým.;0
Ders çalýþtým ama arada mola verdim.;0
Dýþarý çýkmak istedim fakat yaðmur baþladý.;0
Çok çalýþtým ancak sýnavý geçemedim.;0
Hava soðuk lakin dýþarýda yürüyüþ yaptým.;0
Her gün spor yapýyorum, buna raðmen fazla kilo aldým.;0
Film çok güzeldi, halbuki kitabý daha iyiydi.;0
Bugün çok yorgunum ne var ki iþimi bitirmeliyim.;0
Eðer hava güzel olursa pikniðe gideriz.;0
Þayet geç kalýrsan, seni beklemeyeceðim.;0
Ders çalýþýyorsan, baþarýlý olman kaçýnýlmazdýr.;0
Mesela, sabah erken kalkmak daha verimlidir.;0
Özellikle kýþ aylarýnda dikkatli olmak gerekir.;0
Baþka bir deyiþle, düzenli çalýþmak baþarýyý getirir.;0
Kitap okudum ve notlar aldým.;0
Spor yapýyorum, bununla birlikte saðlýklý besleniyorum.;0
Hava çok güzeldi, üstelik rüzgar da yoktu.;0
Böylece planlarýmýz sorunsuz ilerledi.;0
Kitap okuyorum ve notlar alýyorum.;0
Çok çalýþtým ama sýnavdan düþük aldým.;0
Yarýn tatil olacak bu yüzden dinleneceðim.;0
Yemek yaptým fakat misafirler gelmedi.;0
Ders çalýþmadým dolayýsýyla sýnavý geçemedim.;0
Ödevimi tamamladým, bu yüzden rahatlayabilirim.;0
Akþam yemeðini erken yedik, dolayýsýyla film izlemek için vakit kaldý.;0
Sabah erken kalktým, bu nedenle iþime zamanýnda gittim.;0
Arkadaþlarým çok iyi, fakat bazen anlaþmazlýk yaþýyoruz.;0
Planlarýmýz baþarýlý oldu, nitekim herkes mutlu.;0
Özellikle saðlýklý beslenmek vücut direncini artýrýr.;0
Mesela sabah yürüyüþü yapmak güne zinde baþlamayý saðlar.;0
Yemek piþirdim ve herkes çok beðendi.;0
Arkadaþým hasta, oysa bugün okula geldi.;0
Yaðmur yaðacaksa þemsiye alalým.;0
Ödevimi yapmadým, bu yüzden öðretmenim kýzdý.;0
Markete gittim çünkü evde yiyecek kalmamýþtý.;0
Sabah kahvaltý yaptým, dolayýsýyla enerjim yüksek.;0
Akþam yürüyüþe çýktým, bu nedenle kendimi daha iyi hissediyorum.;0
Bugün çok yoruldum, yani erken uyuyacaðým.;0
Trafik yoðundu, o hâlde otobüse binmek daha mantýklýydý.;0
Arkadaþýmý aradým fakat ulaþamadým.;0
Bu hafta çok yoðunum, nitekim projelerimi tamamlamam gerekiyor.;0
Yarýn sinemaya gideceðiz, eðer hava güzel olursa.;0
Kitap okumayý seviyorum, özellikle tarih kitaplarýný.;0
Elektrik kesildi, bu yüzden akþam yemeði soðuktu.;0
Spor salonuna gidiyorum ve saðlýklý besleniyorum.;0
Bugün toplantý vardý, oysa geçen hafta iptal edilmiþti.;0
Bu akþam yemeðe çýkacaðýz, çünkü özel bir gün.;0
Yol çalýþmasý vardý, o yüzden geç kaldým.;0
Ödevimi tamamladým ve teslim ettim.;0
Bahçedeki çiçekler solmuþ, çünkü uzun zamandýr sulanmamýþlar.;0
Maaþýmý yeni aldým, bu yüzden alýþveriþe çýkabilirim.;0
Bulaþýk makinesi bozuldu, dolayýsýyla tabaklarý elde yýkamak zorunda kaldýk.;0
Gitar çalmayý çok denedim ama bir türlü öðrenemedim.;0
Kedimiz çok oyuncudur fakat yabancýlardan korkar.;0
Eðer tren biletlerini ucuza bulursak, tatile çýkarýz.;0
Dün gece olanlarý net hatýrlamýyorum, yani hafýzam biraz zayýflamýþ.;0
Doktor randevusunu erteledim, zira kendimi daha iyi hissediyorum.;0
Telefonumun þarjý doluydu, oysa þimdi kapanmýþ.;0
Dizim aðrýyordu, buna raðmen merdivenleri çýktým.;0
Postanenin kalabalýk olacaðýný tahmin etmiþtim, nitekim uzun bir sýra vardý.;0
Çamaþýr sepeti dolmuþ, o hâlde makineyi çalýþtýrmanýn vakti gelmiþ.;0
Resim yapmak beni rahatlatýyor, baþka bir deyiþle benim için bir terapi gibi.;0
Farklý hobiler edindim, örneðin hafta sonlarý balýk tutuyorum.;0
Faturalarý ödedim ve bankadaki iþimi hallettim.;0
Þayet torunlarým ziyarete gelirse, onlara kurabiye yapacaðým.;0
Pazarda domatesler çok güzeldi lakin fiyatlarý biraz pahalýydý.;0
Bilgisayarý yeniden baþlattým çünkü programlar donmuþtu.;0
